url,ID,name,district,size,price,unitprice,location,property,condition,extras,subjvalue,liked,parking,view,garden
https://ingatlan.com/xi-ker/elado+lakas/tegla-epitesu-lakas/budapest+11+kerulet+dio+utca+1/24337428,1,11 Dió,11,85.00,67.90,798823.5294,2,2,3,1,8,0,0,1,0
https://ingatlan.com/xi-ker/elado+lakas/tegla-epitesu-lakas/budapest+11+kerulet+fatorzs+utca/24645633#terkep,2,11 Fatörzs,11,89.00,74.90,841573.0337,1,2,3,2,8,0,0,1,0
https://ingatlan.com/xi-ker/elado+lakas/tegla-epitesu-lakas/budapest+11+kerulet/24215733,3,11 Kelenföld kétszintes,11,124.00,64.60,520967.7419,1,2,2,1,6,0,0,0,0
https://ingatlan.com/xi-ker/elado+lakas/tegla-epitesu-lakas/budapest+11+kerulet/24246073,4,11 Madárhegy penthouse,11,74.00,72.00,972972.973,2,3,3,2,10,1,0,1,0
https://ingatlan.com/xi-ker/elado+lakas/tegla-epitesu-lakas/budapest+11+kerulet/24248668,5,11 Madárhegy,11,77.00,66.90,868831.1688,2,2,3,3,10,0,0,1,1
https://ingatlan.com/xii-ker/elado+lakas/tegla-epitesu-lakas/budapest+12+kerulet/24443598#terkep,6,12 Sashegy konvektoros,12,83.00,68.30,822891.5663,3,1,1,1,6,0,0,0,0
https://ingatlan.com/xii-ker/elado+lakas/tegla-epitesu-lakas/budapest+12+kerulet/24818678,7,12 Sashegy,12,79.00,74.00,936708.8608,3,2,2,3,10,0,1,0,0
https://ingatlan.com/xi-ker/elado+lakas/tegla-epitesu-lakas/budapest+11+kerulet+oltvany+utca/24774053#terkep,8,11 Oltvány,11,100.00,72.91,729100,2,2,3,3,10,0,1,1,0
https://ingatlan.com/ii-ker/elado+lakas/tegla-epitesu-lakas/budapest+2+kerulet/24886938,9,2 Törökvész látváyterv,2,75.00,64.90,865333.3333,2,0,0,2,4,0,0,0,0
https://ingatlan.com/xi-ker/elado+lakas/tegla-epitesu-lakas/budapest+11+kerulet/24246908,10,11 Sasad alsó,11,83.00,64.90,781927.7108,2,2,3,1,8,0,1,0,1
https://ingatlan.com/xi-ker/elado+lakas/tegla-epitesu-lakas/budapest+11+kerulet+mohai+ut/23911999#terkep,11,11 Mohai,11,78.00,65.20,835897.4359,2,0,3,2,7,0,0,0,0
https://ingatlan.com/xi-ker/elado+lakas/tegla-epitesu-lakas/budapest+11+kerulet+hosszureti+utca/22265491,12,11 Hosszúréti,11,85.00,68.80,809411.7647,2,3,3,3,11,0,0,0,1
https://ingatlan.com/xii-ker/elado+lakas/tegla-epitesu-lakas/budapest+12+kerulet+varoskuti+ut+13/23364100#terkep,13,12 Városkúti,12,84.00,72.00,857142.8571,3,2,0,3,8,0,1,0,1
https://ingatlan.com/ii-ker/elado+lakas/tegla-epitesu-lakas/budapest+2+kerulet/24026077,14,2 Törökvész,2,78.00,65.90,844871.7949,2,2,3,1,8,0,0,0,0